DOY,LAI,LC
1,4.803548387096774,2.814516129032258
2,4.81258064516129,2.824193548387097
3,4.821612903225806,2.8338709677419356
4,4.830645161290323,2.8435483870967744
5,4.839677419354839,2.853225806451613
6,4.848709677419355,2.862903225806452
7,4.857741935483871,2.8725806451612903
8,4.866774193548387,2.882258064516129
9,4.875806451612903,2.891935483870968
10,4.884838709677419,2.9016129032258067
11,4.893870967741935,2.9112903225806455
12,4.902903225806451,2.920967741935484
13,4.911935483870968,2.9306451612903226
14,4.920967741935484,2.9403225806451614
15,4.93,2.95
16,4.9230833333333335,2.9583333333333335
17,4.916166666666666,2.966666666666667
18,4.90925,2.975
19,4.902333333333333,2.9833333333333334
20,4.895416666666667,2.9916666666666667
21,4.8885,3.0
22,4.881583333333333,3.0083333333333333
23,4.874666666666666,3.016666666666667
24,4.86775,3.0250000000000004
25,4.860833333333333,3.0333333333333337
26,4.853916666666667,3.041666666666667
27,4.8469999999999995,3.0500000000000003
28,4.840083333333333,3.0583333333333336
29,4.833166666666666,3.066666666666667
30,4.82625,3.075
31,4.819333333333334,3.0833333333333335
32,4.812416666666667,3.091666666666667
33,4.8055,3.1
34,4.798583333333333,3.1083333333333334
35,4.791666666666667,3.1166666666666667
36,4.78475,3.125
37,4.777833333333334,3.1333333333333333
38,4.7709166666666665,3.1416666666666666
39,4.764,3.1500000000000004
40,4.757083333333333,3.1583333333333337
41,4.750166666666667,3.166666666666667
42,4.74325,3.1750000000000003
43,4.7363333333333335,3.1833333333333336
44,4.729416666666666,3.191666666666667
45,4.7225,3.2
46,4.722822580645161,3.2338709677419355
47,4.723145161290323,3.2677419354838713
48,4.723467741935484,3.3016129032258066
49,4.723790322580645,3.335483870967742
50,4.724112903225807,3.3693548387096777
51,4.724435483870968,3.403225806451613
52,4.724758064516129,3.4370967741935488
53,4.725080645161291,3.470967741935484
54,4.725403225806452,3.5048387096774194
55,4.725725806451613,3.538709677419355
56,4.726048387096775,3.5725806451612905
57,4.726370967741936,3.606451612903226
58,4.726693548387097,3.6403225806451616
59,4.7270161290322585,3.674193548387097
60,4.7273387096774195,3.708064516129032
61,4.7276612903225805,3.741935483870968
62,4.7279838709677415,3.7758064516129033
63,4.728306451612903,3.8096774193548386
64,4.728629032258064,3.8435483870967744
65,4.728951612903225,3.8774193548387097
66,4.729274193548387,3.911290322580645
67,4.729596774193548,3.945161290322581
68,4.729919354838709,3.979032258064516
69,4.730241935483871,4.012903225806451
70,4.730564516129032,4.046774193548387
71,4.730887096774193,4.080645161290323
72,4.731209677419355,4.114516129032258
73,4.731532258064516,4.148387096774194
74,4.731854838709677,4.182258064516129
75,4.732177419354839,4.216129032258065
76,4.7325,4.25
77,4.722583333333334,4.324166666666667
78,4.712666666666666,4.398333333333333
79,4.70275,4.4725
80,4.692833333333334,4.546666666666667
81,4.682916666666666,4.620833333333334
82,4.673,4.695
83,4.663083333333334,4.769166666666667
84,4.6531666666666665,4.843333333333334
85,4.64325,4.9175
86,4.633333333333334,4.991666666666666
87,4.6234166666666665,5.065833333333333
88,4.6135,5.14
89,4.603583333333334,5.214166666666666
90,4.593666666666667,5.288333333333333
91,4.58375,5.3625
92,4.573833333333334,5.4366666666666665
93,4.563916666666667,5.510833333333333
94,4.554,5.585
95,4.544083333333334,5.659166666666667
96,4.534166666666667,5.733333333333333
97,4.52425,5.8075
98,4.514333333333334,5.881666666666666
99,4.504416666666667,5.955833333333333
100,4.4945,6.029999999999999
101,4.484583333333334,6.104166666666666
102,4.474666666666667,6.178333333333333
103,4.46475,6.2524999999999995
104,4.454833333333334,6.326666666666666
105,4.444916666666667,6.400833333333333
106,4.4350000000000005,6.475
107,4.43741935483871,6.463709677419354
108,4.43983870967742,6.452419354838709
109,4.442258064516129,6.441129032258064
110,4.444677419354839,6.429838709677419
111,4.4470967741935485,6.418548387096774
112,4.449516129032259,6.407258064516129
113,4.451935483870968,6.3959677419354835
114,4.454354838709678,6.384677419354839
115,4.456774193548387,6.373387096774193
116,4.4591935483870975,6.362096774193549
117,4.461612903225807,6.350806451612903
118,4.464032258064516,6.3395161290322575
119,4.466451612903226,6.328225806451613
120,4.468870967741935,6.316935483870967
121,4.4712903225806455,6.305645161290323
122,4.473709677419355,6.294354838709677
123,4.476129032258065,6.283064516129032
124,4.478548387096774,6.271774193548387
125,4.480967741935484,6.260483870967742
126,4.483387096774194,6.249193548387097
127,4.485806451612903,6.237903225806451
128,4.488225806451613,6.226612903225806
129,4.490645161290322,6.215322580645161
130,4.493064516129032,6.204032258064516
131,4.495483870967742,6.192741935483871
132,4.497903225806452,6.181451612903226
133,4.500322580645161,6.17016129032258
134,4.502741935483871,6.158870967741936
135,4.50516129032258,6.14758064516129
136,4.5075806451612905,6.1362903225806456
137,4.51,6.125
138,4.496833333333333,6.269166666666667
139,4.483666666666666,6.413333333333333
140,4.4704999999999995,6.5575
141,4.457333333333334,6.701666666666666
142,4.444166666666667,6.845833333333333
143,4.431,6.99
144,4.417833333333333,7.134166666666666
145,4.4046666666666665,7.278333333333333
146,4.3915,7.422499999999999
147,4.378333333333333,7.566666666666666
148,4.365166666666666,7.710833333333333
149,4.352,7.8549999999999995
150,4.3388333333333335,7.9991666666666665
151,4.325666666666667,8.143333333333333
152,4.3125,8.2875
153,4.299333333333333,8.431666666666667
154,4.2861666666666665,8.575833333333332
155,4.273,8.719999999999999
156,4.259833333333333,8.864166666666666
157,4.246666666666667,9.008333333333333
158,4.2335,9.1525
159,4.2203333333333335,9.296666666666667
160,4.207166666666667,9.440833333333332
161,4.194,9.584999999999999
162,4.180833333333333,9.729166666666666
163,4.167666666666666,9.873333333333333
164,4.1545000000000005,10.017499999999998
165,4.141333333333334,10.161666666666665
166,4.128166666666667,10.305833333333332
167,4.115,10.45
168,4.126250000000001,10.354999999999999
169,4.1375,10.26
170,4.14875,10.165
171,4.16,10.069999999999999
172,4.171250000000001,9.975
173,4.1825,9.879999999999999
174,4.19375,9.785
175,4.205,9.69
176,4.2162500000000005,9.594999999999999
177,4.2275,9.5
178,4.23875,9.405
179,4.25,9.309999999999999
180,4.26125,9.215
181,4.2725,9.12
182,4.2837499999999995,9.024999999999999
183,4.295,8.93
184,4.30625,8.834999999999999
185,4.3175,8.74
186,4.328749999999999,8.645
187,4.34,8.549999999999999
188,4.35125,8.455
189,4.3625,8.36
190,4.373749999999999,8.265
191,4.385,8.17
192,4.39625,8.075
193,4.4075,7.9799999999999995
194,4.418749999999999,7.885
195,4.43,7.789999999999999
196,4.44125,7.695
197,4.4525,7.6
198,4.458548387096774,7.543548387096774
199,4.464596774193548,7.487096774193548
200,4.470645161290323,7.430645161290323
201,4.476693548387097,7.374193548387097
202,4.482741935483871,7.317741935483871
203,4.488790322580645,7.261290322580645
204,4.494838709677419,7.204838709677419
205,4.500887096774194,7.148387096774194
206,4.506935483870968,7.091935483870968
207,4.512983870967742,7.035483870967742
208,4.519032258064516,6.979032258064516
209,4.52508064516129,6.92258064516129
210,4.531129032258065,6.866129032258064
211,4.537177419354839,6.809677419354839
212,4.543225806451613,6.753225806451613
213,4.549274193548387,6.696774193548387
214,4.555322580645161,6.640322580645161
215,4.561370967741935,6.583870967741936
216,4.56741935483871,6.52741935483871
217,4.573467741935484,6.470967741935484
218,4.579516129032258,6.414516129032258
219,4.585564516129032,6.358064516129032
220,4.591612903225806,6.301612903225806
221,4.597661290322581,6.245161290322581
222,4.603709677419355,6.188709677419355
223,4.609758064516129,6.132258064516129
224,4.615806451612903,6.075806451612903
225,4.621854838709677,6.019354838709678
226,4.627903225806452,5.962903225806452
227,4.633951612903226,5.906451612903226
228,4.64,5.85
229,4.6434999999999995,5.775833333333333
230,4.646999999999999,5.701666666666666
231,4.6505,5.6274999999999995
232,4.654,5.553333333333333
233,4.6575,5.479166666666666
234,4.661,5.404999999999999
235,4.664499999999999,5.330833333333333
236,4.668,5.256666666666666
237,4.6715,5.182499999999999
238,4.675,5.108333333333333
239,4.6785,5.034166666666667
240,4.6819999999999995,4.96
241,4.6855,4.885833333333333
242,4.689,4.8116666666666665
243,4.6925,4.7375
244,4.696,4.663333333333333
245,4.6995,4.589166666666666
246,4.703,4.515
247,4.7065,4.440833333333333
248,4.71,4.366666666666666
249,4.7135,4.2924999999999995
250,4.717,4.218333333333334
251,4.7205,4.144166666666667
252,4.724,4.07
253,4.7275,3.995833333333333
254,4.731,3.9216666666666664
255,4.7345,3.8474999999999997
256,4.738,3.7733333333333334
257,4.7415,3.6991666666666667
258,4.745,3.625
259,4.745403225806451,3.585483870967742
260,4.7458064516129035,3.545967741935484
261,4.746209677419355,3.5064516129032257
262,4.746612903225807,3.4669354838709676
263,4.747016129032258,3.4274193548387095
264,4.74741935483871,3.3879032258064514
265,4.7478225806451615,3.3483870967741938
266,4.748225806451613,3.3088709677419352
267,4.748629032258065,3.2693548387096776
268,4.749032258064516,3.2298387096774195
269,4.749435483870968,3.1903225806451614
270,4.7498387096774195,3.1508064516129033
271,4.750241935483871,3.111290322580645
272,4.750645161290323,3.071774193548387
273,4.751048387096774,3.032258064516129
274,4.751451612903226,2.992741935483871
275,4.7518548387096775,2.953225806451613
276,4.75225806451613,2.9137096774193547
277,4.752661290322581,2.8741935483870966
278,4.753064516129032,2.8346774193548385
279,4.753467741935484,2.7951612903225804
280,4.7538709677419355,2.7556451612903228
281,4.754274193548388,2.7161290322580642
282,4.754677419354839,2.6766129032258066
283,4.75508064516129,2.637096774193548
284,4.755483870967742,2.5975806451612904
285,4.7558870967741935,2.558064516129032
286,4.756290322580646,2.518548387096774
287,4.756693548387097,2.479032258064516
288,4.757096774193549,2.439516129032258
289,4.7575,2.4
290,4.761416666666667,2.3916666666666666
291,4.765333333333333,2.3833333333333333
292,4.76925,2.375
293,4.773166666666667,2.3666666666666667
294,4.777083333333334,2.3583333333333334
295,4.781000000000001,2.35
296,4.784916666666667,2.341666666666667
297,4.788833333333334,2.333333333333333
298,4.79275,2.3249999999999997
299,4.796666666666667,2.3166666666666664
300,4.800583333333334,2.308333333333333
301,4.8045,2.3
302,4.808416666666667,2.2916666666666665
303,4.812333333333333,2.283333333333333
304,4.81625,2.275
305,4.820166666666667,2.2666666666666666
306,4.824083333333333,2.2583333333333333
307,4.828,2.25
308,4.831916666666666,2.2416666666666667
309,4.835833333333333,2.2333333333333334
310,4.83975,2.225
311,4.843666666666667,2.216666666666667
312,4.847583333333334,2.208333333333333
313,4.8515,2.1999999999999997
314,4.855416666666667,2.1916666666666664
315,4.859333333333334,2.183333333333333
316,4.86325,2.175
317,4.867166666666667,2.1666666666666665
318,4.871083333333333,2.158333333333333
319,4.875,2.15
320,4.8675,2.1666666666666665
321,4.86,2.183333333333333
322,4.8525,2.1999999999999997
323,4.845,2.216666666666667
324,4.8375,2.2333333333333334
325,4.83,2.25
326,4.8225,2.2666666666666666
327,4.815,2.283333333333333
328,4.8075,2.3
329,4.8,2.3166666666666664
330,4.7925,2.333333333333333
331,4.785,2.35
332,4.7775,2.3666666666666667
333,4.7700000000000005,2.3833333333333333
334,4.7625,2.4
335,4.755,2.4166666666666665
336,4.7475000000000005,2.433333333333333
337,4.74,2.4499999999999997
338,4.7325,2.466666666666667
339,4.7250000000000005,2.4833333333333334
340,4.7175,2.5
341,4.71,2.5166666666666666
342,4.702500000000001,2.533333333333333
343,4.695,2.55
344,4.6875,2.5666666666666664
345,4.680000000000001,2.583333333333333
346,4.6725,2.6
347,4.665,2.6166666666666667
348,4.657500000000001,2.6333333333333333
349,4.65,2.65
350,4.659032258064516,2.6596774193548387
351,4.668064516129032,2.6693548387096775
352,4.677096774193549,2.6790322580645163
353,4.686129032258065,2.6887096774193546
354,4.695161290322581,2.6983870967741934
355,4.704193548387097,2.708064516129032
356,4.7132258064516135,2.717741935483871
357,4.722258064516129,2.72741935483871
358,4.731290322580645,2.7370967741935486
359,4.740322580645161,2.746774193548387
360,4.749354838709678,2.7564516129032257
361,4.758387096774194,2.7661290322580645
362,4.76741935483871,2.7758064516129033
363,4.776451612903226,2.785483870967742
364,4.785483870967742,2.795161290322581
365,4.794516129032258,2.804838709677419
